id	yearBCAD
GaozhaiM4_17_LowCov.AG	-334
GaozhaiM4_17_LowCov.AG	-535
GaozhaiM4_17_LowCov.AG	-142
GaozhaiM4_20.AG	-442
GaozhaiM4_20.AG	-432
GaozhaiM4_20.AG	-482
GaozhaiM4_2.AG	-207
GaozhaiM4_2.AG	-351
GaozhaiM4_2.AG	-299
GaozhaiM4_4.AG	-295
GaozhaiM4_4.AG	-557
GaozhaiM4_4.AG	-314
GaozhaiM4_5.AG	-219
GaozhaiM4_5.AG	-177
GaozhaiM4_5.AG	-212
GaozhaiM4_6.AG	-159
GaozhaiM4_6.AG	-432
GaozhaiM4_6.AG	-131
GaozhaiM4_7.AG	-521
GaozhaiM4_7.AG	-486
GaozhaiM4_7.AG	-140
GaozhaiM4_8.AG	-351
GaozhaiM4_8.AG	-599
GaozhaiM4_8.AG	-301
GuchengcunM2.AG	-1740
GuchengcunM2.AG	-1594
GuchengcunM2.AG	-1647
HaibaoshanM75_d_LowCov_d.SG	1794
HaibaoshanM75_d_LowCov_d.SG	1906
HaibaoshanM75_d_LowCov_d.SG	1917
HaibaoshanM76_d_d.SG	1721
HaibaoshanM76_d_d.SG	1617
HaibaoshanM76_d_d.SG	1694
HaibaoshanM96.SG	-773
HaibaoshanM96.SG	-769
HaibaoshanM96.SG	-773
HongtupoM1.AG	84
HongtupoM1.AG	64
HongtupoM1.AG	-27
HongtupoM2.AG	-8
HongtupoM2.AG	189
HongtupoM2.AG	181
HongtupoM3_LowCov.AG	-20
HongtupoM3_LowCov.AG	-41
HongtupoM3_LowCov.AG	-22
JiangbianM165.AG	51
JiangbianM165.AG	33
JiangbianM165.AG	109
JiangxifenM382.SG	137
JiangxifenM382.SG	116
JiangxifenM382.SG	171
JiangxifenM405.SG	43
JiangxifenM405.SG	159
JiangxifenM405.SG	133
JiangxifenM437.SG	197
JiangxifenM437.SG	126
JiangxifenM437.SG	98
JiangxifenM489.AG	119
JiangxifenM489.AG	68
JiangxifenM489.AG	89
JiangxifenM492.SG	45
JiangxifenM492.SG	4
JiangxifenM492.SG	84
JiangxifenM65.SG	-450
JiangxifenM65.SG	-570
JiangxifenM65.SG	-571
JichaM11.AG	-635
JichaM11.AG	-451
JichaM11.AG	-702
JichaM14.AG	-734
JichaM14.AG	-714
JichaM14.AG	-636
JichaM1.AG	-331
JichaM1.AG	-709
JichaM1.AG	-796
JichaM22.AG	-344
JichaM22.AG	-623
JichaM22.AG	-759
JichaM31.AG	-659
JichaM31.AG	-435
JichaM31.AG	-566
JichaM35.AG	-703
JichaM35.AG	-610
JichaM35.AG	-635
JichaM37.AG	-320
JichaM37.AG	-457
JichaM37.AG	-725
JichaM42.AG	-732
JichaM42.AG	-534
JichaM42.AG	-310
JichaM52.AG	-486
JichaM52.AG	-394
JichaM52.AG	-358
JichaM5.AG	-621
JichaM5.AG	-383
JichaM5.AG	-520
JichaM6.AG	-388
JichaM6.AG	-350
JichaM6.AG	-683
JichaM8.AG	-474
JichaM8.AG	-718
JichaM8.AG	-578
JinlianshanM15_2.SG	3
JinlianshanM15_2.SG	48
JinlianshanM15_2.SG	-19
JinlianshanM15_4_3.SG	479
JinlianshanM15_4_3.SG	491
JinlianshanM15_4_3.SG	417
